"key","category","value"
"Company - Private","Company Rating",4.12224824355972
"Company - Private","Career Opportunities",4.04309133489461
"Company - Private","Senior Management",3.8576112412178
"Company - Private","Compensation and Benefits",3.84754098360656
"Company - Private","Work Life Balance",3.83067915690867
"Company - Private","Culture and Values",4.10444964871194
"Company - Public","Company Rating",3.79566160520607
"Company - Public","Career Opportunities",3.66334056399132
"Company - Public","Senior Management",3.39479392624729
"Company - Public","Compensation and Benefits",3.52060737527115
"Company - Public","Work Life Balance",3.63904555314534
"Company - Public","Culture and Values",3.77375271149675
